latitude,longitude,name
43.2694029,-2.9422913,mapmaching_2401170
43.2694029,-2.9422913,mapmaching_2401171
43.2694029,-2.9422913,mapmaching_2401172
43.2694029,-2.9422913,mapmaching_2401173
43.2694029,-2.9422913,mapmaching_2401174
43.2694029,-2.9422913,mapmaching_2401175
43.2694029,-2.9422913,mapmaching_2401176
43.2694029,-2.9422913,mapmaching_2401177
43.2694029,-2.9422913,mapmaching_2401178
43.2694029,-2.9422913,mapmaching_2401179
43.2694029,-2.9422913,mapmaching_24011710
43.2694029,-2.9422913,mapmaching_24011711
43.2694029,-2.9422913,mapmaching_24011712
43.2694029,-2.9422913,mapmaching_24011713
43.2694029,-2.9422913,mapmaching_24011714
43.2694029,-2.9422913,mapmaching_24011715
43.2694029,-2.9422913,mapmaching_24011716
43.2694029,-2.9422913,mapmaching_24011717
43.2694029,-2.9422913,mapmaching_24011718
43.2694029,-2.9422913,mapmaching_24011719
43.2694029,-2.9422913,mapmaching_24011720
43.2694029,-2.9422913,mapmaching_24011721
43.2694029,-2.9422913,mapmaching_24011722
43.2694029,-2.9422913,mapmaching_24011723
43.2694029,-2.9422913,mapmaching_24011724
43.2694029,-2.9422913,mapmaching_24011725
43.2694029,-2.9422913,mapmaching_24011726
43.2694029,-2.9422913,mapmaching_24011727
43.2694029,-2.9422913,mapmaching_24011728
43.2694029,-2.9422913,mapmaching_24011729
43.2694029,-2.9422913,mapmaching_24011730
43.2694029,-2.9422913,mapmaching_24011731
43.2694029,-2.9422913,mapmaching_24011732
43.2694029,-2.9422913,mapmaching_24011733
43.2694029,-2.9422913,mapmaching_24011734
43.2694029,-2.9422913,mapmaching_24011735
43.2694029,-2.9422913,mapmaching_24011736
43.2694029,-2.9422913,mapmaching_24011737
43.2694029,-2.9422913,mapmaching_24011738
43.2694029,-2.9422913,mapmaching_24011739
43.2694029,-2.9422913,mapmaching_24011740
43.2694029,-2.9422913,mapmaching_24011741
43.2694029,-2.9422913,mapmaching_24011742
43.2694029,-2.9422913,mapmaching_24011743
43.2694029,-2.9422913,mapmaching_24011744
43.2694029,-2.9422913,mapmaching_24011745
43.2694029,-2.9422913,mapmaching_24011746
43.2694029,-2.9422913,mapmaching_24011747
43.2694029,-2.9422913,mapmaching_24011748
43.2694029,-2.9422913,mapmaching_24011749
43.2694029,-2.9422913,mapmaching_24011750
43.2694029,-2.9422913,mapmaching_24011751
43.2694029,-2.9422913,mapmaching_24011752
43.2694029,-2.9422913,mapmaching_24011753
43.2694029,-2.9422913,mapmaching_24011754
43.2694029,-2.9422913,mapmaching_24011755
43.2694029,-2.9422913,mapmaching_24011756
43.2694029,-2.9422913,mapmaching_24011757
43.2694029,-2.9422913,mapmaching_24011758
43.2694029,-2.9422913,mapmaching_24011759
43.2694029,-2.9422913,mapmaching_24011760
43.2694029,-2.9422913,mapmaching_24011761
43.2694029,-2.9422913,mapmaching_24011762
43.2694029,-2.9422913,mapmaching_24011763
43.2692344,-2.9436472,mapmaching_24011764
43.2692344,-2.9436472,mapmaching_24011765
43.2692344,-2.9436472,mapmaching_24011766
43.2692344,-2.9436472,mapmaching_24011767
43.2692344,-2.9436472,mapmaching_24011768
43.2692344,-2.9436472,mapmaching_24011769
43.2692344,-2.9436472,mapmaching_24011770
43.2692344,-2.9436472,mapmaching_24011771
43.2692344,-2.9436472,mapmaching_24011772
43.2692344,-2.9436472,mapmaching_24011773
43.2692344,-2.9436472,mapmaching_24011774
43.2692344,-2.9436472,mapmaching_24011775
43.2692344,-2.9436472,mapmaching_24011776
43.2692344,-2.9436472,mapmaching_24011777
43.2692344,-2.9436472,mapmaching_24011778
43.2692344,-2.9436472,mapmaching_24011779
43.2692344,-2.9436472,mapmaching_24011780
43.2691923,-2.9441028,mapmaching_24011781
43.2691923,-2.9441028,mapmaching_24011782
43.2691923,-2.9441028,mapmaching_24011783
43.2691923,-2.9441028,mapmaching_24011784
43.2691923,-2.9441028,mapmaching_24011785
43.2691923,-2.9441028,mapmaching_24011786
