latitude,longitude,name
43.2686013333,-2.94644516667,prueba_080217
43.2685991667,-2.94644233333,prueba_080217
43.2685973333,-2.94644016667,prueba_080217
43.2685955,-2.946438,prueba_080217
43.2685933333,-2.9464355,prueba_080217
43.2685921667,-2.94643383333,prueba_080217
43.2685921667,-2.94643316667,prueba_080217
43.2685905,-2.94643083333,prueba_080217
43.268588,-2.94642783333,prueba_080217
43.2685863333,-2.9464255,prueba_080217
43.2685845,-2.94642333333,prueba_080217
43.2685825,-2.94642133333,prueba_080217
43.2685801667,-2.9464185,prueba_080217
43.2685781667,-2.94641583333,prueba_080217
43.2685768333,-2.946414,prueba_080217
43.2685755,-2.94641233333,prueba_080217
43.2685733333,-2.94640933333,prueba_080217
43.2685713333,-2.94640683333,prueba_080217
43.2685691667,-2.94640466667,prueba_080217
43.2685671667,-2.94640266667,prueba_080217
43.268565,-2.946402,prueba_080217
43.2685625,-2.94640816667,prueba_080217
43.2685635,-2.94643333333,prueba_080217
43.2685605,-2.94646933333,prueba_080217
43.2685515,-2.94651116667,prueba_080217
43.2685391667,-2.94655916667,prueba_080217
43.2685253333,-2.94661483333,prueba_080217
43.2685086667,-2.946676,prueba_080217
43.2684905,-2.94674433333,prueba_080217
43.268471,-2.9468185,prueba_080217
43.2684513333,-2.94689983333,prueba_080217
43.2684308333,-2.9469885,prueba_080217
43.268408,-2.94708433333,prueba_080217
43.268383,-2.947187,prueba_080217
43.2683566667,-2.94729583333,prueba_080217
43.2683333333,-2.94741333333,prueba_080217
43.2683116667,-2.94753816667,prueba_080217
43.26829,-2.94766933333,prueba_080217
43.268268,-2.94780616667,prueba_080217
43.2682468333,-2.9479495,prueba_080217
43.268226,-2.948098,prueba_080217
43.2682063333,-2.94824916667,prueba_080217
43.2681871667,-2.9483975,prueba_080217
43.2681681667,-2.948542,prueba_080217
43.2681521667,-2.94868316667,prueba_080217
43.26814,-2.94882133333,prueba_080217
43.2681285,-2.94895466667,prueba_080217
43.2681153333,-2.949082,prueba_080217
43.2681011667,-2.94920433333,prueba_080217
43.2680883333,-2.94932333333,prueba_080217
43.2680776667,-2.94943916667,prueba_080217
43.2680665,-2.94954566667,prueba_080217
43.268054,-2.94963966667,prueba_080217
43.268039,-2.94972166667,prueba_080217
43.2680246667,-2.9497935,prueba_080217
43.268011,-2.949849,prueba_080217
43.2680015,-2.94988916667,prueba_080217
43.2679941667,-2.94991633333,prueba_080217
43.2679845,-2.94995316667,prueba_080217
43.26797,-2.95000666667,prueba_080217
43.26795,-2.95007866667,prueba_080217
43.2679205,-2.9501625,prueba_080217
43.2678803333,-2.95025483333,prueba_080217
43.267826,-2.95034116667,prueba_080217
43.2677575,-2.95041,prueba_080217
43.2676771667,-2.95045266667,prueba_080217
43.2675901667,-2.95046483333,prueba_080217
43.2675041667,-2.95044133333,prueba_080217
43.2674235,-2.9503805,prueba_080217
43.2673578333,-2.95029,prueba_080217
43.2673173333,-2.95017916667,prueba_080217
43.2673011667,-2.9500525,prueba_080217
43.2673145,-2.94992066667,prueba_080217
43.2673526667,-2.94979383333,prueba_080217
43.2673975,-2.94966533333,prueba_080217
43.2674375,-2.94952966667,prueba_080217
43.2674681667,-2.94938283333,prueba_080217
43.2674971667,-2.94922633333,prueba_080217
43.2675321667,-2.94906433333,prueba_080217
43.267575,-2.94889866667,prueba_080217
43.267619,-2.948725,prueba_080217
43.2676641667,-2.94854566667,prueba_080217
