name,latitude,longitude
Prueba1,43.269267166666666,-2.94468
Prueba2,43.26926233333333,-2.9447271666666666
Prueba3,43.26925816666667,-2.9447740000000002
Prueba4,43.26925433333334,-2.944821
Prueba5,43.26925066666666,-2.9448679999999996
Prueba6,43.26924683333333,-2.9449144999999994
Prueba7,43.26924300000001,-2.944960833333333
Prueba8,43.269239166666665,-2.945006833333333
Prueba9,43.26923566666666,-2.9450531666666664
Prueba10,43.26923216666667,-2.945099833333333
Prueba11,43.269249333333335,-2.9443906666666666
Prueba12,43.269243499999995,-2.9443443333333335
Prueba13,43.26923333333334,-2.944325166666667
Prueba14,43.26922016666667,-2.9443573333333335
Prueba15,43.26920883333334,-2.9443581666666674
Prueba16,43.26920066666667,-2.9443671666666673
Prueba17,43.269199166666674,-2.9443683333333333
Prueba18,43.26919566666667,-2.9443766666666664
Prueba19,43.269193166666675,-2.9443865000000002
Prueba20,43.2691915,-2.944396666666666
Prueba21,43.26918866666667,-2.944406
Prueba22,43.26918466666666,-2.9444166666666667
Prueba23,43.269181333333336,-2.9444280000000003
Prueba24,43.269178,-2.9444401666666664
Prueba25,43.269174166666666,-2.9444529999999998
Prueba26,43.269170333333335,-2.9444663333333336
Prueba27,43.269166,-2.944479833333333
Prueba28,43.26916166666666,-2.9444934999999997
Prueba29,43.269157,-2.9445078333333337
Prueba30,43.269152,-2.944521999999999
Prueba31,43.26914683333333,-2.9445366666666666
Prueba32,43.269141499999996,-2.9445523333333337
Prueba33,43.26913633333334,-2.9445675000000007
Prueba34,43.269130833333335,-2.9445836666666665
Prueba35,43.26912583333333,-2.9445996666666665
Prueba36,43.269081333333325,-2.944752
Prueba37,43.269077166666655,-2.9447683333333337
Prueba38,43.269069666666674,-2.9447971666666675
Prueba39,43.26906683333333,-2.9448098333333332
Prueba40,43.26906516666666,-2.94482
Prueba41,43.2690615,-2.9448418333333333
Prueba42,43.2690585,-2.944853666666667
Prueba43,43.26905266666665,-2.9448768333333333
Prueba44,43.2690495,-2.944888
Prueba45,43.26904633333333,-2.9448989999999995
Prueba46,43.26904316666668,-2.9449101666666664
Prueba47,43.26903966666667,-2.9449249999999996
Prueba48,43.26903933333333,-2.944929
Prueba49,43.2690375,-2.9449431666666666
Prueba50,43.26903649999999,-2.9449488333333336
Prueba51,43.26903600000001,-2.944951666666666
Prueba52,43.26903816666666,-2.9449525000000003
Prueba53,43.26904,-2.9449534999999996
Prueba54,43.26904549999999,-2.9449595
Prueba55,43.269046666666654,-2.9449615000000002
Prueba56,43.269047666666665,-2.9449635
Prueba57,43.26904849999999,-2.944965333333333
Prueba58,43.26904933333333,-2.944967333333333
Prueba59,43.26905000000001,-2.9449688333333337
Prueba60,43.269050666666665,-2.9449703333333335
Prueba61,43.269051833333336,-2.9449738333333326
Prueba62,43.26905233333333,-2.944975666666666
Prueba63,43.26905283333333,-2.9449771666666664
Prueba64,43.26905333333334,-2.944978666666666
Prueba65,43.26905416666667,-2.9449813333333332
Prueba66,43.269054499999996,-2.9449825
Prueba67,43.26905466666667,-2.944983666666667
Prueba68,43.269054999999994,-2.944984666666666
Prueba69,43.2690555,-2.944986333333334
Prueba70,43.26905583333333,-2.944988166666667
Prueba71,43.26905583333333,-2.9449889999999996
Prueba72,43.269056000000006,-2.9449900000000007
Prueba73,43.26905616666666,-2.9449906666666665
Prueba74,43.2690565,-2.9449916666666667
Prueba75,43.269057000000004,-2.9449933333333327
Prueba76,43.269057000000004,-2.944994166666667
Prueba77,43.26905716666667,-2.944995333333334
Prueba78,43.26905716666667,-2.9449965000000002
Prueba79,43.26905716666667,-2.945004333333334
Prueba80,43.26905733333333,-2.945007
Prueba81,43.26905833333334,-2.945020333333333
Prueba82,43.2690585,-2.9450236666666667
Prueba83,43.269058666666666,-2.9450268333333334
Prueba84,43.26905916666666,-2.945030166666667
Prueba85,43.2690595,-2.9450331666666667
Prueba86,43.26906033333333,-2.9450391666666675
Prueba87,43.26906033333333,-2.9450423333333333
Prueba88,43.26906,-2.945053333333333
Prueba89,43.26905916666666,-2.945058
Prueba90,43.269057999999994,-2.9450631666666673
Prueba91,43.269054499999996,-2.9450843333333334
Prueba92,43.269050666666665,-2.945103833333333
Prueba93,43.26904833333333,-2.9451068333333335
Prueba94,43.269046833333334,-2.9451120000000004
Prueba95,43.26903333333333,-2.945136833333333
Prueba96,43.26903066666667,-2.945149666666666
Prueba97,43.26902533333333,-2.9451598333333333
Prueba98,43.269020166666664,-2.945171833333333
Prueba99,43.26901733333334,-2.9451883333333333
Prueba100,43.26901466666666,-2.9452151666666673
Prueba101,43.269014,-2.9452244999999992
Prueba102,43.26901083333334,-2.945239666666667
Prueba103,43.26900916666667,-2.9452471666666664
Prueba104,43.269007499999994,-2.9452550000000004
Prueba105,43.269005,-2.9452621666666663
Prueba106,43.26900333333332,-2.945269666666667
Prueba107,43.269,-2.9452844999999996
Prueba108,43.26899650000001,-2.9452993333333337
Prueba109,43.268989499999996,-2.9453225
Prueba110,43.268985666666666,-2.9453578333333335
Prueba111,43.26898383333334,-2.9453665
Prueba112,43.26898083333334,-2.945385166666667
Prueba113,43.268978000000004,-2.945406333333333
Prueba114,43.268976,-2.9454148333333334
Prueba115,43.268972000000005,-2.9454319999999994
Prueba116,43.268969333333345,-2.945440333333334
Prueba117,43.26896666666667,-2.9454483333333332
Prueba118,43.26896449999999,-2.9454563333333326
Prueba119,43.26895999999999,-2.9454728333333335
Prueba120,43.268958000000005,-2.9454825
Prueba121,43.26895433333335,-2.9454995
Prueba122,43.26894649999999,-2.9455325
Prueba123,43.268944,-2.9455406666666666
Prueba124,43.268931666666674,-2.9455788333333337
Prueba125,43.26892933333334,-2.9455864999999997
Prueba126,43.268926,-2.9455936666666664
Prueba127,43.26892416666666,-2.9456016666666667
Prueba128,43.26892116666666,-2.9456089999999997
Prueba129,43.26891483333333,-2.9456316666666673
Prueba130,43.268909833333325,-2.945646
Prueba131,43.2689075,-2.945653666666667
Prueba132,43.2689015,-2.9456691666666672
Prueba133,43.26889433333334,-2.9456944999999997
Prueba134,43.26889216666666,-2.9457036666666663
Prueba135,43.2688875,-2.945731166666667
Prueba136,43.26888416666667,-2.945748666666667
Prueba137,43.268879166666665,-2.9457675
Prueba138,43.26887683333333,-2.9457763333333333
Prueba139,43.268873333333346,-2.9457950000000004
Prueba140,43.26886849999999,-2.9458275
Prueba141,43.268869333333335,-2.9458393333333337
Prueba142,43.26886883333333,-2.9458555
Prueba143,43.26887700000001,-2.945916166666667
Prueba144,43.26837966666667,-2.9474078333333336
Prueba145,43.26836766666667,-2.9474686666666665
Prueba146,43.26835166666667,-2.9475339999999997
Prueba147,43.268318,-2.9477100000000003
Prueba148,43.26830866666666,-2.9477623333333334
Prueba149,43.26829866666667,-2.9478141666666664
Prueba150,43.26828950000001,-2.9478655000000002
Prueba151,43.26823366666667,-2.9482025000000003
Prueba152,43.26821366666667,-2.9483365
Prueba153,43.26820800000001,-2.9483800000000002
Prueba154,43.268202833333326,-2.9484228333333333
Prueba155,43.26819766666667,-2.9484649999999997
Prueba156,43.268192500000005,-2.948506333333333
Prueba157,43.268187999999995,-2.9485471666666667
